"Age","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"12","Males","148","14,787,575","1.00","--","7,844"
"12","Females","93","14,149,656","0.66","--","4,929"
"13","Males","227","14,896,737","1.52","--","11,804"
"13","Females","183","14,235,929","1.29","--","9,516"
"14","Males","360","14,943,371","2.41","--","18,360"
"14","Females","260","14,254,903","1.82","--","13,260"
"15","Males","519","15,075,757","3.44","--","25,950"
"15","Females","390","14,361,488","2.72","--","19,500"
"16","Males","711","15,294,888","4.65","--","34,839"
"16","Females","423","14,546,262","2.91","--","20,727"
"17","Males","983","15,537,658","6.33","--","47,184"
"17","Females","375","14,726,424","2.55","--","18,000"
"18","Males","1,216","15,860,442","7.67","--","57,152"
"18","Females","417","15,040,706","2.77","--","19,599"
"19","Males","1,509","16,042,825","9.41","--","69,414"
"19","Females","445","15,238,395","2.92","--","20,470"
"20","Males","1,683","16,001,818","10.52","--","75,735"
"20","Females","489","15,221,609","3.21","--","22,005"
"21","Males","1,692","15,973,123","10.59","--","74,448"
"21","Females","490","15,227,582","3.22","--","21,560"
"22","Males","1,775","15,870,035","11.19","--","76,325"
"22","Females","523","15,157,077","3.45","--","22,489"
"23","Males","1,709","15,715,670","10.87","--","71,778"
"23","Females","491","15,063,451","3.26","--","20,622"
"24","Males","1,681","15,497,015","10.85","--","68,921"
"24","Females","477","14,905,241","3.20","--","19,557"
"25","Males","1,675","15,323,880","10.93","--","67,000"
"25","Females","500","14,808,484","3.38","--","20,000"
"26","Males","1,797","15,131,651","11.88","--","70,083"
"26","Females","546","14,736,178","3.71","--","21,294"
"27","Males","1,711","15,095,415","11.34","--","65,018"
"27","Females","542","14,840,739","3.65","--","20,596"
"28","Males","1,798","15,027,557","11.97","--","66,526"
"28","Females","577","14,826,649","3.89","--","21,349"
"29","Males","1,794","14,845,608","12.08","--","64,584"
"29","Females","582","14,677,331","3.97","--","20,952"
"30","Males","1,731","14,802,910","11.69","--","60,585"
"30","Females","598","14,613,733","4.09","--","20,930"
