"Age","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"12","Males","140","15,278,366","0.92","--","7,420"
"12","Females","46","14,552,397","0.32","--","2,438"
"13","Males","225","15,292,379","1.47","--","11,700"
"13","Females","115","14,562,264","0.79","--","5,980"
"14","Males","321","15,243,369","2.11","--","16,371"
"14","Females","189","14,499,825","1.30","--","9,639"
"15","Males","474","15,311,749","3.10","--","23,700"
"15","Females","253","14,535,499","1.74","--","12,650"
"16","Males","636","15,345,857","4.14","--","31,164"
"16","Females","283","14,505,660","1.95","--","13,867"
"17","Males","845","15,258,639","5.54","--","40,560"
"17","Females","266","14,338,504","1.86","--","12,768"
"18","Males","1,071","15,225,999","7.03","--","50,337"
"18","Females","299","14,297,744","2.09","--","14,053"
"19","Males","1,325","15,202,278","8.72","--","60,950"
"19","Females","336","14,306,181","2.35","--","15,456"
"20","Males","1,329","15,087,514","8.81","--","59,805"
"20","Females","324","14,248,504","2.27","--","14,580"
"21","Males","1,425","15,046,137","9.47","--","62,700"
"21","Females","363","14,284,549","2.54","--","15,972"
"22","Males","1,402","14,825,512","9.46","--","60,286"
"22","Females","336","14,141,719","2.38","--","14,448"
"23","Males","1,457","14,579,129","9.99","--","61,194"
"23","Females","335","14,011,043","2.39","--","14,070"
"24","Males","1,467","14,365,171","10.21","--","60,147"
"24","Females","363","13,923,790","2.61","--","14,883"
"25","Males","1,423","14,136,309","10.07","--","56,920"
"25","Females","397","13,832,897","2.87","--","15,880"
"26","Males","1,407","13,802,069","10.19","--","54,873"
"26","Females","364","13,621,847","2.67","--","14,196"
"27","Males","1,397","13,589,471","10.28","--","53,086"
"27","Females","407","13,460,164","3.02","--","15,466"
"28","Males","1,363","13,399,979","10.17","--","50,431"
"28","Females","418","13,219,942","3.16","--","15,466"
"29","Males","1,423","13,354,867","10.66","--","51,228"
"29","Females","405","13,159,116","3.08","--","14,580"
"30","Males","1,450","13,763,080","10.54","--","50,750"
"30","Females","433","13,540,954","3.20","--","15,155"
"31","Males","1,535","13,832,867","11.10","--","52,190"
"31","Females","462","13,699,986","3.37","--","15,708"
"32","Males","1,479","14,153,704","10.45","--","48,807"
"32","Females","496","14,049,007","3.53","--","16,368"
"33","Males","1,571","14,225,028","11.04","--","50,272"
"33","Females","492","14,156,369","3.48","--","15,744"
"34","Males","1,677","14,372,008","11.67","--","51,987"
"34","Females","557","14,329,222","3.89","--","17,267"
"35","Males","1,733","14,596,865","11.87","--","51,990"
"35","Females","574","14,547,532","3.95","--","17,220"
"36","Males","1,664","14,764,600","11.27","--","48,256"
"36","Females","609","14,775,564","4.12","--","17,661"
"37","Males","1,787","14,846,225","12.04","--","50,036"
"37","Females","621","14,906,835","4.17","--","17,388"
"38","Males","1,826","14,917,932","12.24","--","49,302"
"38","Females","656","15,040,463","4.36","--","17,712"
"39","Males","1,850","15,141,736","12.22","--","48,100"
"39","Females","709","15,291,828","4.64","--","18,434"
"40","Males","1,958","15,370,961","12.74","--","48,950"
"40","Females","750","15,584,153","4.81","--","18,750"
"41","Males","1,957","15,720,628","12.45","--","46,968"
"41","Females","823","15,932,239","5.17","--","19,752"
"42","Males","1,995","15,852,660","12.59","--","45,885"
"42","Females","828","16,097,378","5.14","--","19,044"
"43","Males","1,946","15,856,716","12.27","--","42,812"
"43","Females","846","16,156,753","5.24","--","18,612"
"44","Males","2,018","15,724,774","12.83","--","42,378"
"44","Females","902","16,066,420","5.61","--","18,942"
"45","Males","1,879","15,564,779","12.07","--","37,580"
"45","Females","875","15,945,105","5.49","--","17,500"
"46","Males","1,902","15,501,380","12.27","--","36,138"
"46","Females","881","15,870,720","5.55","--","16,739"
"47","Males","1,914","15,279,018","12.53","--","34,452"
"47","Females","893","15,681,235","5.70","--","16,074"
"48","Males","1,785","14,862,623","12.01","--","30,345"
"48","Females","880","15,337,964","5.74","--","14,960"
"49","Males","1,726","14,565,284","11.85","--","27,616"
"49","Females","891","15,063,489","5.92","--","14,256"
"50","Males","1,599","14,110,555","11.33","--","23,985"
"50","Females","816","14,673,162","5.56","--","12,240"
"51","Males","1,473","13,843,473","10.64","--","20,622"
"51","Females","817","14,400,601","5.67","--","11,438"
"52","Males","1,482","13,444,026","11.02","--","19,266"
"52","Females","786","14,042,246","5.60","--","10,218"
"53","Males","1,317","13,111,244","10.05","--","15,804"
"53","Females","702","13,729,376","5.11","--","8,424"
"54","Males","1,271","12,938,029","9.82","--","13,981"
"54","Females","672","13,585,978","4.95","--","7,392"
"55","Males","1,185","12,246,837","9.68","--","11,850"
"55","Females","618","12,934,953","4.78","--","6,180"
"56","Males","1,013","11,779,893","8.60","--","9,117"
"56","Females","543","12,450,680","4.36","--","4,887"
"57","Males","950","11,234,878","8.46","--","7,600"
"57","Females","537","11,918,351","4.51","--","4,296"
"58","Males","921","10,763,052","8.56","--","6,447"
"58","Females","493","11,477,511","4.30","--","3,451"
"59","Males","798","10,172,225","7.85","--","4,788"
"59","Females","477","10,910,131","4.37","--","2,862"
"60","Males","735","9,462,705","7.77","--","3,675"
"60","Females","424","10,226,922","4.15","--","2,120"
"61","Males","594","8,806,249","6.75","--","2,376"
"61","Females","340","9,569,147","3.55","--","1,360"
"62","Males","528","8,450,687","6.25","--","1,584"
"62","Females","317","9,246,866","3.43","--","951"
"63","Males","448","8,095,054","5.53","--","896"
"63","Females","269","8,917,884","3.02","--","538"
"64","Males","425","7,659,669","5.55","--","425"
"64","Females","256","8,499,124","3.01","--","256"
"65","Males","394","7,204,022","5.47","--","0"
"65","Females","222","8,080,646","2.75","--","0"
"66","Males","360","6,894,442","5.22","--","0"
"66","Females","196","7,797,203","2.51","--","0"
"67","Males","315","6,602,519","4.77","--","0"
"67","Females","188","7,535,374","2.50","--","0"
"68","Males","317","6,317,351","5.02","--","0"
"68","Females","169","7,301,002","2.32","--","0"
"69","Males","304","6,062,453","5.01","--","0"
"69","Females","144","7,111,866","2.03","--","0"
"70","Males","281","5,803,848","4.84","--","0"
"70","Females","161","6,911,982","2.33","--","0"
"71","Males","280","5,676,321","4.93","--","0"
"71","Females","166","6,852,190","2.42","--","0"
"72","Males","281","5,456,566","5.15","--","0"
"72","Females","169","6,707,662","2.52","--","0"
"73","Males","286","5,260,054","5.44","--","0"
"73","Females","145","6,580,626","2.20","--","0"
"74","Males","254","5,083,554","5.00","--","0"
"74","Females","126","6,484,787","1.94","--","0"
"75","Males","254","4,848,306","5.24","--","0"
"75","Females","160","6,338,201","2.52","--","0"
"76","Males","259","4,676,088","5.54","--","0"
"76","Females","170","6,259,416","2.72","--","0"
"77","Males","237","4,422,049","5.36","--","0"
"77","Females","138","6,091,460","2.27","--","0"
"78","Males","251","4,146,023","6.05","--","0"
"78","Females","157","5,874,683","2.67","--","0"
"79","Males","241","3,875,813","6.22","--","0"
"79","Females","128","5,663,996","2.26","--","0"
"80","Males","228","3,563,912","6.40","--","0"
"80","Females","143","5,383,986","2.66","--","0"
"81","Males","248","3,271,535","7.58","--","0"
"81","Females","131","5,124,415","2.56","--","0"
"82","Males","232","2,927,301","7.93","--","0"
"82","Females","139","4,763,663","2.92","--","0"
"83","Males","205","2,611,090","7.85","--","0"
"83","Females","139","4,397,390","3.16","--","0"
"84","Males","205","2,273,367","9.02","--","0"
"84","Females","104","3,989,591","2.61","--","0"
"Total","","105,792","1,683,760,784","6.28","--","2,506,393"
"","","","","","",""
"Injury Outcome: Fatal","","","","","",""
"Injury Type: All Injury","","","","","",""
"Data Years: 2001 to 2007","","","","","",""
"Geography: United States","","","","","",""
"Intent: Suicide","","","","","",""
"Mechanism: Non-Firearm","","","","","",""
"Age: 12 to 84","","","","","",""
"Sex: Both Sexes","","","","","",""
"Race: All Races","","","","","",""
"Ethnicity: All Ethnicities","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","",""
"YPLL Age: 65","","","","","",""
"Year and Race Options: 2001 - 2021 with No Race","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","",""
