"Age","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"12","Males","75","14,787,575","0.51","--","3,975"
"12","Females","13**","14,149,656","0.09**","--","689"
"13","Males","175","14,896,737","1.18","--","9,100"
"13","Females","41","14,235,929","0.29","--","2,132"
"14","Males","306","14,943,371","2.05","--","15,606"
"14","Females","59","14,254,903","0.41","--","3,009"
"15","Males","485","15,075,757","3.22","--","24,250"
"15","Females","86","14,361,488","0.60","--","4,300"
"16","Males","698","15,294,888","4.56","--","34,202"
"16","Females","115","14,546,262","0.79","--","5,635"
"17","Males","859","15,537,658","5.53","--","41,232"
"17","Females","118","14,726,424","0.80","--","5,664"
"18","Males","1,178","15,860,442","7.43","--","55,366"
"18","Females","101","15,040,706","0.67","--","4,747"
"19","Males","1,335","16,042,825","8.32","--","61,410"
"19","Females","138","15,238,395","0.91","--","6,348"
"20","Males","1,386","16,001,818","8.66","--","62,370"
"20","Females","158","15,221,609","1.04","--","7,110"
"21","Males","1,755","15,973,123","10.99","--","77,220"
"21","Females","210","15,227,582","1.38","--","9,240"
"22","Males","1,906","15,870,035","12.01","--","81,958"
"22","Females","225","15,157,077","1.48","--","9,675"
"23","Males","1,917","15,715,670","12.20","--","80,514"
"23","Females","203","15,063,451","1.35","--","8,526"
"24","Males","1,809","15,497,015","11.67","--","74,169"
"24","Females","251","14,905,241","1.68","--","10,291"
"25","Males","1,803","15,323,880","11.77","--","72,120"
"25","Females","237","14,808,484","1.60","--","9,480"
"26","Males","1,765","15,131,651","11.66","--","68,835"
"26","Females","221","14,736,178","1.50","--","8,619"
"27","Males","1,642","15,095,415","10.88","--","62,396"
"27","Females","269","14,840,739","1.81","--","10,222"
"28","Males","1,646","15,027,557","10.95","--","60,902"
"28","Females","254","14,826,649","1.71","--","9,398"
"29","Males","1,611","14,845,608","10.85","--","57,996"
"29","Females","269","14,677,331","1.83","--","9,684"
"30","Males","1,527","14,802,910","10.32","--","53,445"
"30","Females","253","14,613,733","1.73","--","8,855"
"31","Males","1,545","14,478,076","10.67","--","52,530"
"31","Females","293","14,386,329","2.04","--","9,962"
"32","Males","1,455","14,365,015","10.13","--","48,015"
"32","Females","255","14,308,012","1.78","--","8,415"
"33","Males","1,513","14,140,911","10.70","--","48,416"
"33","Females","255","14,115,763","1.81","--","8,160"
"34","Males","1,490","13,953,390","10.68","--","46,190"
"34","Females","258","13,954,633","1.85","--","7,998"
"35","Males","1,507","13,766,489","10.95","--","45,210"
"35","Females","268","13,790,316","1.94","--","8,040"
"36","Males","1,478","13,730,920","10.76","--","42,862"
"36","Females","288","13,814,558","2.09","--","8,352"
"37","Males","1,649","13,884,445","11.88","--","46,172"
"37","Females","272","14,014,975","1.94","--","7,616"
"38","Males","1,674","14,114,209","11.86","--","45,198"
"38","Females","307","14,246,003","2.16","--","8,289"
"39","Males","1,653","14,287,995","11.57","--","42,978"
"39","Females","294","14,422,840","2.04","--","7,644"
"40","Males","1,625","14,295,467","11.37","--","40,625"
"40","Females","353","14,456,026","2.44","--","8,825"
"41","Males","1,761","14,403,228","12.23","--","42,264"
"41","Females","382","14,584,654","2.62","--","9,168"
"42","Males","1,775","14,570,203","12.18","--","40,825"
"42","Females","327","14,739,505","2.22","--","7,521"
"43","Males","1,814","14,780,803","12.27","--","39,908"
"43","Females","396","14,962,806","2.65","--","8,712"
"44","Males","1,923","14,834,316","12.96","--","40,383"
"44","Females","386","15,047,743","2.57","--","8,106"
"45","Males","1,975","14,854,368","13.30","--","39,500"
"45","Females","403","15,133,954","2.66","--","8,060"
"46","Males","2,079","15,001,731","13.86","--","39,501"
"46","Females","401","15,314,778","2.62","--","7,619"
"47","Males","2,139","15,251,362","14.03","--","38,502"
"47","Females","522","15,610,147","3.34","--","9,396"
"48","Males","2,293","15,489,883","14.80","--","38,981"
"48","Females","506","15,889,191","3.19","--","8,602"
"49","Males","2,311","15,633,885","14.78","--","36,976"
"49","Females","455","16,082,612","2.83","--","7,280"
"50","Males","2,401","15,569,557","15.42","--","36,015"
"50","Females","514","16,083,812","3.20","--","7,710"
"51","Males","2,464","15,521,618","15.88","--","34,496"
