"Rank","State","Grade","Gun Death Rank","Gun Death Rate (per 100K)"
38,"Alabama","F",2,21.70
42,"Alaska","F",7,20.74
45,"Arizona","F",18,15.29
40,"Arkansas","F",8,18.96
1,"California","A",44,7.45
14,"Colorado","C+",19,15.14
3,"Connecticut","A-",45,4.91
11,"Delaware","B",34,11.55
22,"Florida","C-",27,12.81
32,"Georgia","F",17,15.72
5,"Hawaii","A-",48,4.03
48,"Idaho","F",16,16.61
8,"Illinois","A-",36,10.78
28,"Indiana","D-",20,14.71
19,"Iowa","C",42,8.62
43,"Kansas","F",21,14.65
46,"Kentucky","F",14,16.81
32,"Louisiana","F",4,21.31
34,"Maine","F",39,10.32
6,"Maryland","A-",33,11.61
7,"Massachusetts","A-",49,3.46
19,"Michigan","C",26,12.82
13,"Minnesota","C+",43,7.79
50,"Mississippi","F",1,22.81
46,"Missouri","F",3,21.34
34,"Montana","F",13,17.27
18,"Nebraska","C",41,9.05
15,"Nevada","C+",10,17.84
30,"New Hampshire","F",37,10.66
2,"New Jersey","A",46,4.75
17,"New Mexico","C",6,20.75
4,"New York","A-",47,4.03
24,"North Carolina","D",23,13.26
39,"North Dakota","F",35,11.36
24,"Ohio","D",25,13.05
40,"Oklahoma","F",15,16.71
15,"Oregon","C+",32,11.68
12,"Pennsylvania","C+",29,12.47
9,"Rhode Island","B+",50,3.28
31,"South Carolina","F",12,17.51
44,"South Dakota","F",22,13.50
29,"Tennessee","D-",11,17.82
34,"Texas","F",30,12.22
27,"Utah","D",24,13.14
23,"Vermont","C-",28,12.63
26,"Virginia","D",31,11.76
10,"Washington","B+",38,10.32
34,"West Virginia","F",9,18.11
21,"Wisconsin","C-",40,10.13
48,"Wyoming","F",5,21.09
